-563;66;245;1783045162931;world
-563;66;244;1783045162222;world
-552;63;256;1783045903701;world
-552;63;253;1783044370441;world
-552;63;252;1783044371240;world
-552;63;255;1783044366910;world
-552;63;254;1783045930091;world
-552;63;251;1783044371970;world
-552;63;250;1783045682012;world
-552;64;246;1783046119191;world
-552;64;245;1783046117992;world
-552;64;247;1783045678682;world
-552;64;242;1783044396751;world
-552;64;244;1783046117321;world
-552;64;243;1783045339940;world
-563;66;251;1783045169262;world
-563;66;250;1783046480640;world
-563;66;253;1783045171030;world
-563;66;252;1783045170171;world
-563;66;247;1783046482171;world
-563;66;246;1783045164304;world
-563;66;249;1783045167631;world
-563;66;248;1783045166661;world
-563;65;243;1783045323920;world
-552;63;245;1783044388513;world
-552;63;244;1783044385814;world
-552;63;247;1783045680110;world
-552;63;246;1783044389552;world
-552;63;241;1783044384051;world
-563;65;254;1783045772583;world
-552;63;243;1783045919790;world
-552;63;242;1783044384655;world
-563;65;250;1783045544800;world
-563;65;249;1783045556401;world
-563;65;248;1783045557148;world
-563;65;247;1783045543265;world
-563;68;247;1783046541490;world
-563;68;246;1783046514752;world
-549;63;249;1783044083153;world
-552;65;254;1783045374480;world
-552;65;250;1783045683912;world
-552;66;248;1783046431152;world
-552;66;247;1783046592942;world
-552;66;250;1783046595541;world
-552;66;249;1783044556410;world
-552;66;244;1783044550670;world
-552;66;246;1783044552810;world
-552;66;245;1783044552141;world
-563;68;251;1783046509980;world
-563;68;250;1783046531413;world
-563;67;246;1783046507380;world
-563;67;245;1783046506651;world
-552;64;254;1783045376181;world
-552;64;255;1783044410711;world
-552;64;250;1783045685551;world
-552;65;247;1783045677012;world
-552;65;246;1783046122831;world
-552;65;249;1783044572940;world
-552;65;248;1783044577302;world
-552;65;243;1783045338913;world
-552;65;245;1783046121902;world
-552;65;244;1783046120402;world
-563;67;252;1783046496552;world
-563;67;251;1783046497670;world
-563;67;248;1783046500940;world
-563;67;247;1783046502310;world
-563;67;250;1783046498940;world
-563;67;249;1783046499880;world
-563;70;249;1783046553381;world
-563;70;248;1783046554102;world
-552;67;252;1783046607890;world
-549;65;249;1783044086590;world
-552;68;250;1783046620771;world
-552;68;251;1783046619371;world
-552;68;246;1783046615295;world
-552;68;247;1783046617002;world
-563;69;247;1783046542631;world
-552;66;252;1783044559140;world
-552;66;251;1783044558269;world
-549;64;249;1783044084163;world
-552;66;253;1783044561870;world
-552;67;249;1783046604051;world
-552;67;248;1783046601951;world
-552;67;251;1783046608731;world
-552;67;250;1783046604891;world
-552;67;245;1783046598781;world
-552;67;247;1783046600981;world
-552;67;246;1783046599740;world
-563;69;250;1783046534480;world
-563;64;243;1783045325090;world
-563;64;242;1783045145820;world
-552;70;248;1783046578191;world
-563;64;255;1783045205252;world
-563;64;254;1783045773850;world
-552;70;249;1783046578882;world
-563;64;250;1783045308862;world
-563;64;247;1783045541763;world
-563;63;242;1783045145081;world
-563;63;241;1783045144351;world
-563;63;256;1783045203851;world
-563;63;255;1783045204580;world
-552;69;250;1783046622070;world
-563;63;252;1783045229302;world
-552;69;247;1783046582482;world
-563;63;251;1783045230262;world
-563;63;254;1783045209352;world
-563;63;253;1783045227901;world
-563;63;247;1783045307323;world
-563;63;250;1783045305951;world
-563;63;244;1783045234401;world
-563;63;243;1783045154391;world
-563;63;246;1783045235882;world
-563;63;245;1783045235113;world
